,slug,name,playtime,released,rating,rating_top,ratings_count,suggestions_count,reviews_text_count,added,reviews_count,esrb_rating,background_image
110,conan-exiles,Conan Exiles,9,2017-01-30,2.78,3,406,617,4,2561,410,adults-only,https://media.rawg.io/media/games/c9e/c9e47fd222f631084879d395eee07d66.jpg
111,full-throttle-remastered,Full Throttle Remastered,3,2017-04-17,3.95,4,389,461,3,2551,393,teen,https://media.rawg.io/media/games/ab1/ab1b125c1bf4899c58fe90226b9a1f5b.jpg
112,rage-2,Rage 2,11,2019-05-14,3.25,3,614,524,8,2488,629,mature,https://media.rawg.io/media/games/662/66261db966238da20c306c4b78ae4603.jpg
113,dragon-age-2,Dragon Age 2,14,2011-03-08,3.83,4,725,596,6,2423,736,,https://media.rawg.io/media/games/974/974d08635981db7677630327ce1fe4bb.jpg
114,wasteland-2-directors-cut,Wasteland 2: Director's Cut,6,2015-10-13,3.64,4,298,562,3,2400,302,adults-only,https://media.rawg.io/media/games/4f4/4f4c0c0d2127fd67b1e894204029468b.jpg
115,burnout-paradise,Burnout Paradise,8,2008-01-22,4.08,4,562,377,3,2390,565,everyone-10-plus,https://media.rawg.io/media/games/788/788b80cbc8c39167f7ed6dd89fd398dc.jpg
116,dayz,DayZ,17,2013-12-16,3.03,3,361,380,2,2390,365,mature,https://media.rawg.io/media/games/7d7/7d7c89793578f721df56022c6cf53bb0.jpg
117,costume-quest,Costume Quest,4,2010-10-19,3.45,4,253,458,2,2366,255,teen,https://media.rawg.io/media/screenshots/2b4/2b47c5edfeea2970eeb44d1f8cbd562d.jpg
118,gears-of-war-4,Gears of War 4,0,2016-10-11,3.91,4,624,657,5,2347,632,mature,https://media.rawg.io/media/games/079/079175933a50b2bf202edd6aa17be19c.jpg
119,gears-of-war-3,Gears of War 3,16,2011-09-20,4.2,4,533,644,1,2343,536,mature,https://media.rawg.io/media/games/422/4228842dcfaef2a83bdb14c2a3ca2165.jpg
120,yakuza-kiwami-2,Yakuza Kiwami 2,10,2017-12-07,4.36,5,308,357,6,2312,315,mature,https://media.rawg.io/media/games/b32/b32735e3f7d95959cc39265f555f2aa8.jpg
121,astroneer,ASTRONEER,8,2019-02-06,3.77,4,418,439,1,2248,421,everyone,https://media.rawg.io/media/games/02f/02f775a806c6cd64c28d5aeca928dc76.jpg
122,the-ascent-2,The Ascent,4,2021-07-29,3.31,3,214,580,7,2206,221,mature,https://media.rawg.io/media/games/d68/d68eeda4d2bc89241066056efae8f7c2.jpg
123,crysis-3,Crysis 3,2,2013-02-19,3.69,4,570,551,1,2204,571,mature,https://media.rawg.io/media/games/1c6/1c61ef4ce04bce876841118580b03ccb.jpg
124,fable-ii,Fable II,27,2008-10-21,4.12,4,462,628,2,2198,466,mature,https://media.rawg.io/media/games/cec/cec82d526f9d056d426c985562963eec.jpg
125,state-of-decay-2,State of Decay 2,8,2018-05-22,3.24,3,447,465,3,2185,450,mature,https://media.rawg.io/media/games/20a/20a1892c6dbe9b820a2f0d79f9ed47a2.jpg
126,dragon-ball-fighterz,DRAGON BALL FighterZ,6,2018-01-25,4.12,4,397,468,11,2183,411,,https://media.rawg.io/media/games/96b/96b9420bbd4bd1b79bf2a67f7779733a.jpg
127,halo-5-guardians,Halo 5: Guardians,0,2015-10-27,3.75,4,502,419,3,2180,508,teen,https://media.rawg.io/media/games/77f/77fb27e5b7ec6984f43a70a289376e6a.jpg
128,crysis-2,Crysis 2,12,2011-03-22,3.82,4,613,609,2,2177,615,mature,https://media.rawg.io/media/games/899/899ce332d07c3fc1dd924bf828d1f484.jpg
129,dirt-5,DiRT 5,2,2020-11-06,3.25,4,190,594,3,2125,193,,https://media.rawg.io/media/games/9c7/9c7dd09596246993169b356d7c1facf0.jpg
130,wreckfest,Wreckfest,3,2018-06-14,3.69,4,296,330,1,2113,298,teen,https://media.rawg.io/media/games/ff2/ff2315fb895502efcbd40f1e5f37c170.jpg
131,psychonauts-2,Psychonauts 2,10,2021-08-24,4.39,5,248,441,8,2111,257,teen,https://media.rawg.io/media/games/c3c/c3c536cc4d32623ba928020dfd39a648.jpg
132,gang-beasts,Gang Beasts,2,2014-08-29,3.89,4,310,243,4,2110,315,,https://media.rawg.io/media/screenshots/160/160f894fc774f4cc51a99f435abadd4e.jpg
133,my-time-at-portia,My Time At Portia,5,2019-01-14,3.52,4,244,373,1,2081,246,everyone-10-plus,https://media.rawg.io/media/games/176/1765390b699b432edc3a208d544c6ba0.jpg
134,back-4-blood,Back 4 Blood,5,2021-10-07,3.27,3,213,549,6,2077,221,mature,https://media.rawg.io/media/games/4fe/4feffcec6315c5f5a96442a8444431ca.jpg
135,outriders,Outriders,19,2021-04-01,3.37,3,245,1016,7,2013,255,mature,https://media.rawg.io/media/games/faa/faa6a4a7a2e57faf2960329630aee211.jpg
136,star-wars-squadrons,Star Wars: Squadrons,3,2020-10-02,3.22,4,202,432,3,2001,206,teen,https://media.rawg.io/media/games/b19/b191ff2b8ccb646d1d2d9297ed5c7e89.jpg
137,contrast,Contrast,4,2013-11-15,3.31,4,278,569,1,1993,279,,https://media.rawg.io/media/games/5f2/5f25cf08217b40b9d8f02f95db1fdc1d.jpg
138,anthem,Anthem,0,2019-02-22,2.64,3,468,629,6,1978,474,teen,https://media.rawg.io/media/games/cc4/cc43daf431c44420c7f602025d250fb1.jpg
139,superliminal,Superliminal,3,2019-11-12,4.15,4,328,200,7,1939,337,,https://media.rawg.io/media/screenshots/fb1/fb1fe0f084f38788e176a155e3cec07a.jpg
140,maneater,Maneater,4,2020-05-22,3.45,4,181,502,1,1929,182,mature,https://media.rawg.io/media/games/895/8951013b8ace2d652727df2f9023cbb8.jpg
141,nuclear-throne,Nuclear Throne,5,2015-12-04,4.02,4,266,354,0,1926,267,,https://media.rawg.io/media/screenshots/a2d/a2de25bcbcb0b4f0b015b644534597c4.jpg
142,wolfenstein-youngblood,Wolfenstein: Youngblood,5,2019-07-26,2.64,3,358,159,6,1922,369,mature,https://media.rawg.io/media/games/c64/c64d2f63cabeab9126693b7d39539c8d.jpg
143,the-walking-dead-a-new-frontier,The Walking Dead: A New Frontier,9,2016-12-19,3.6,4,513,602,0,1856,516,,https://media.rawg.io/media/games/f0a/f0a65d7d9c4534f8f4897f9d161307ed.jpg
144,yakuza-7,Yakuza: Like a Dragon,17,2020-01-16,4.32,5,206,675,8,1842,218,mature,https://media.rawg.io/media/games/a59/a5993b9f84944570a31cb6ad08bfe502.jpg
145,we-happy-few,We Happy Few,4,2018-08-09,3.19,3,310,550,2,1834,312,mature,https://media.rawg.io/media/games/537/537974990a025a3edcbe91e408e85fbc.jpg
146,teenage-mutant-ninja-turtles-shredders-revenge,Teenage Mutant Ninja Turtles: Shredder's Revenge,3,2022-06-16,4.11,4,178,263,2,1785,183,,https://media.rawg.io/media/games/aac/aac683272f862540a18625f02f5f3679.jpg
147,house-flipper,House Flipper,6,2018-05-16,3.85,4,228,234,0,1763,231,everyone,https://media.rawg.io/media/screenshots/9f9/9f9ab5676c4f7d21c3f29165ef6dda2c.jpg
148,final-fantasy-xiii-2,FINAL FANTASY XIII-2,4,2011-12-15,3.56,4,261,588,1,1744,262,,https://media.rawg.io/media/games/c6f/c6fc62de480c614fed2b88df0155cdcd.jpg
149,acid-nerve-deaths-door,Death's Door,5,2021-07-20,4.26,4,234,353,9,1739,245,everyone-10-plus,https://media.rawg.io/media/games/a3e/a3ea71c18e81d54ebaf982dadb9a8738.jpg
150,supraland,Supraland,5,2019-04-05,3.92,4,141,335,2,1701,144,,https://media.rawg.io/media/games/b62/b62581b3e5d0c65268fb33c62865e5df.jpg
151,halo-spartan-assault,Halo: Spartan Assault,2,2013-07-18,3.07,3,206,566,0,1692,206,,https://media.rawg.io/media/games/93f/93f10d635566ff67e4f743c2c8f2c4dd.jpg
152,wasteland-3,Wasteland 3,8,2020-08-28,4.05,4,212,645,2,1684,218,teen,https://media.rawg.io/media/games/370/370a4cbcfa75e5238ee8f74bf323694d.jpg
153,donut-county,Donut County,2,2018-08-27,3.98,4,420,231,12,1677,433,everyone-10-plus,https://media.rawg.io/media/games/035/035b7bd6d015e07e501d2234ec629dc3.jpg
154,dantes-inferno,Dante's Inferno,23,2010-02-05,3.92,4,368,637,2,1666,373,mature,https://media.rawg.io/media/games/cdd/cdd4b6cf03ac7ebf7460b0d82f9aaa09.jpg
155,danganronpa-trigger-happy-havoc,Danganronpa: Trigger Happy Havoc,9,2010-11-25,4.29,4,344,289,4,1624,350,mature,https://media.rawg.io/media/games/2fb/2fb35e31727f7ebc1f00bf998d0e22a7.jpg
156,tunic,Tunic,4,2022-03-16,4.06,4,139,281,3,1609,143,everyone,https://media.rawg.io/media/games/2c1/2c1984e128ac48b89953ed4de4904a3b.jpg
157,clustertruck,ClusterTruck,2,2016-09-26,3.8,4,266,197,3,1591,272,,https://media.rawg.io/media/screenshots/4f8/4f8fdcafd22e1e2c252b7b3a0d39ddef.jpg
158,tetris-effect-connected,Tetris Effect: Connected,2,2020-11-10,4.18,4,187,37,1,1574,188,everyone,https://media.rawg.io/media/games/377/3770f2c7020bcb6cc2072f073f27fb4c.jpg
159,battletoads,Battletoads,3,1991-06-01,3.9,4,269,253,2,1566,271,,https://media.rawg.io/media/games/470/47058af09b864c2d211a08271eccfb4f.jpg
160,thehunter-call-of-the-wild,theHunter: Call of the Wild,4,2017-02-16,3.45,4,167,397,2,1534,170,teen,https://media.rawg.io/media/games/e6f/e6fed89f004972a1967e181fe63e78b0.jpg
161,skate-3,Skate 3,9,2010-05-11,4.13,4,279,482,1,1493,280,teen,https://media.rawg.io/media/games/122/1222277df1e3a000327b65d9ca45126a.jpg
162,unpacking-2,Unpacking,3,2021-11-02,4.02,4,277,70,4,1490,285,,https://media.rawg.io/media/games/c11/c1118fbcfd846c631ecb7646f8efc780.jpg
163,pikuniku-2,Pikuniku,3,2019-01-03,3.92,4,187,83,4,1488,191,,https://media.rawg.io/media/games/f26/f26800fe9d6aba33fed9b81195b12728.jpg
164,gears-tactics,Gears Tactics,7,2020-04-28,3.91,4,176,702,3,1431,182,adults-only,https://media.rawg.io/media/games/c36/c366f32194f488b2d04c0ec086c2cc3d.jpg
165,bejeweled-3,Bejeweled 3,3,2010-12-07,3.52,4,141,176,0,1404,141,everyone-10-plus,https://media.rawg.io/media/screenshots/0a0/0a0561997da0dc86fcdebf1249bf0043.jpg
166,forager,Forager,7,2016-12-14,4.03,4,172,172,0,1400,174,,https://media.rawg.io/media/screenshots/467/467ec166bdb3c8f8232e205047194dba.jpg
167,fifa-21,FIFA 21,9,2020-10-06,3.24,4,206,516,2,1374,208,,https://media.rawg.io/media/games/df4/df415b18835f91a1b4db1da294996ee5.jpg
168,banjo-kazooie,Banjo-Kazooie,2,1998-05-31,4.21,5,297,654,0,1374,297,everyone,https://media.rawg.io/media/screenshots/f0d/f0da831778e57b58636ccaf20a7cc6e6.jpg
169,recore-definitive-edition-2,ReCore: Definitive Edition,4,2017-08-29,3.27,3,93,666,1,1367,94,,https://media.rawg.io/media/games/d76/d76bd51161884d729ceac7e98eacde80.jpg
170,torment-tides-of-numenera,Torment: Tides of Numenera,3,2017-02-27,3.62,4,187,629,3,1343,192,,https://media.rawg.io/media/games/570/5705f063e549547b22db00b643619388.jpg
171,battlefield-bad-co,Battlefield: Bad Company,1,2008-06-23,3.94,4,269,569,1,1336,272,teen,https://media.rawg.io/media/games/aeb/aeb33772a46dfe88fa9bd2f93068c91c.jpg
172,ea-sports-ufc-3,EA SPORTS UFC 3,0,2018-02-02,3.59,4,291,139,0,1312,291,teen,https://media.rawg.io/media/screenshots/abf/abf78bfd9fbe3ae9deef030510ec9fa7_DuTr1td.jpg
173,gears-of-war-judgment,Gears of War: Judgment,11,2013-03-19,3.57,4,304,535,0,1311,305,mature,https://media.rawg.io/media/games/4c5/4c53a1916628cb0dfd47b812955c194d.jpg
174,plants-vs-zombies-garden-warfare-3,Plants vs Zombies Garden Warfare,3,2014-02-25,3.35,3,155,573,1,1294,156,everyone-10-plus,https://media.rawg.io/media/games/9cd/9cddf72caf9ca14267121975270149dd.jpg
175,project-octopath-traveler,Octopath Traveler,6,2018-07-13,3.88,4,259,564,7,1290,269,,https://media.rawg.io/media/games/e23/e2345c839b323a94b6811705fda5af73.jpg
176,scarlet-nexus,Scarlet Nexus,9,2021-06-25,3.59,4,129,1038,4,1288,133,teen,https://media.rawg.io/media/games/27c/27cb94ed1763fec383fb99151580095a.jpg
177,doom-2,DOOM,0,1993-12-10,4.39,5,685,400,4,1271,692,mature,https://media.rawg.io/media/games/47b/47b50d880be8453bf9cda6e5c007bc26.jpg
178,snowrunner,SnowRunner,6,2020-04-28,4.0,4,198,535,3,1243,203,everyone,https://media.rawg.io/media/games/d22/d22ea1bfb636fbf1a9c235cc304312a8.jpg
179,neon-abyss,Neon Abyss,4,2020-07-13,3.39,4,102,449,1,1240,103,,https://media.rawg.io/media/games/977/97759451a8b0fcb16ac9357c24140008.jpg
180,grounded-2,Grounded,4,2022-09-27,3.92,4,131,272,2,1213,134,teen,https://media.rawg.io/media/games/0d7/0d7b7a687bf665b61337904193c56855.jpg
181,f1-2020,F1 2020,6,2020-07-10,3.63,4,94,87,0,1202,94,everyone,https://media.rawg.io/media/games/cd6/cd64ec71d501de0eb32f6b1f50e4c060.jpg
182,mortal-shell,Mortal Shell,3,2020-08-18,3.41,4,145,481,7,1194,154,mature,https://media.rawg.io/media/games/0b3/0b32976c5406a0a646cfc4cdc2297b17.jpg
183,breathedge,Breathedge,4,2021-02-25,3.79,4,219,433,0,1188,222,teen,https://media.rawg.io/media/games/ef8/ef853efdaf6778ca731eec21d1d7d0d7.jpg
184,tropico-6,Tropico 6,4,2019-03-28,3.77,4,120,356,1,1183,121,everyone,https://media.rawg.io/media/games/5d5/5d5da5167163cc75f77b4c6b15ae865b.jpg
